complemento.valorTotal,dets.nItem,dets.prod.indTot,dets.prod.qCom,dets.prod.uCom,dets.prod.vProd,dets.prod.vUnCom,dets.prod.xProd,emit.cnpj,emit.enderEmit.fone,emit.enderEmit.uf,emit.enderEmit.xBairro,emit.enderEmit.xLgr,emit.enderEmit.xMun,emit.enderEmit.xPais,emit.xFant,ide.dhEmi.$date,ide.natOp,infAdic.infCpl,total.icmsTot.vbc,total.icmsTot.vbcst,total.icmsTot.vcofins,total.icmsTot.vDesc,total.icmsTot.vFrete,total.icmsTot.vicms,total.icmsTot.vicmsDeson,total.icmsTot.vii,total.icmsTot.vipi,total.icmsTot.vnf,total.icmsTot.vOutro,total.icmsTot.vpis,total.icmsTot.vProd,total.icmsTot.vSeg,total.icmsTot.vst,total.icmsTot.vTotTrib,versaoDocumento
"100,07",1,1,1,KG,"68,6","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-13T13:37:51.000Z,VENDA,Mesa 78,0,0,0,0,0,0,0,0,0,"82,1",0,0,"100,1",0,0,"11,19",1
"100,07",1,1,3,UN,"10,5","3,5",AGUA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-13T13:29:24.000Z,VENDA,Mesa 70,0,0,0,0,0,0,0,0,0,"93,09",0,0,"100,09",0,0,"5,8",1
"100,07",2,1,"1,306",KG,"89,59","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-13T13:29:24.000Z,VENDA,Mesa 70,0,0,0,0,0,0,0,0,0,"93,09",0,0,"100,09",0,0,"5,8",1
"100,07",2,1,6,UN,27,"4,5",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-13T13:37:51.000Z,VENDA,Mesa 78,0,0,0,0,0,0,0,0,0,"82,1",0,0,"100,1",0,0,"11,19",1
"100,07",3,1,1,UN,"4,5","4,5",CERVEJA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-13T13:37:51.000Z,VENDA,Mesa 78,0,0,0,0,0,0,0,0,0,"82,1",0,0,"100,1",0,0,"11,19",1
"100,09",1,1,1,UN,"43,2","43,2",YAKISSOBA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-19T22:42:11.000Z,VENDA,Mesa 26,0,0,0,1,0,0,0,0,0,"100,1",0,0,"101,1",0,0,"14,87",[Record]
"100,09",2,1,1,UN,"4,5","4,5",SUCO,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-19T22:42:11.000Z,VENDA,Mesa 26,0,0,0,1,0,0,0,0,0,"100,1",0,0,"101,1",0,0,"14,87",[Record]
"100,09",3,1,2,UN,12,6,CERVEJA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-19T22:42:11.000Z,VENDA,Mesa 26,0,0,0,1,0,0,0,0,0,"100,1",0,0,"101,1",0,0,"14,87",[Record]
"100,09",4,1,"0,414",KG,"28,4","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-19T22:42:11.000Z,VENDA,Mesa 26,0,0,0,1,0,0,0,0,0,"100,1",0,0,"101,1",0,0,"14,87",[Record]
"100,09",5,1,2,UN,13,"6,5",CERVEJA LATA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-19T22:42:11.000Z,VENDA,Mesa 26,0,0,0,1,0,0,0,0,0,"100,1",0,0,"101,1",0,0,"14,87",[Record]
"100,26",1,1,3,UN,"10,5","3,5",AGUA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-06T21:14:12.000Z,VENDA,Mesa 53,0,0,0,0,0,0,0,0,0,"84,28",0,0,"100,28",0,0,"8,25",1
"100,26",2,1,"1,112",KG,"76,28","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-06T21:14:12.000Z,VENDA,Mesa 53,0,0,0,0,0,0,0,0,0,"84,28",0,0,"100,28",0,0,"8,25",1
"100,26",3,1,3,UN,"13,5","4,5",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-06T21:14:12.000Z,VENDA,Mesa 53,0,0,0,0,0,0,0,0,0,"84,28",0,0,"100,28",0,0,"8,25",1
"100,31",1,1,"1,2",KG,"82,32","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-11T21:54:52.000Z,VENDA,Mesa 11,0,0,0,0,0,0,0,0,0,"63,88",0,0,"100,32",0,0,"10,21",1
"100,31",2,1,4,UN,18,"4,5",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-11T21:54:52.000Z,VENDA,Mesa 11,0,0,0,0,0,0,0,0,0,"63,88",0,0,"100,32",0,0,"10,21",1
"100,53",1,1,2,UN,7,"3,5",AGUA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-12T12:51:18.000Z,VENDA,Mesa 26,0,0,0,0,0,0,0,0,0,"100,54",0,0,"100,54",0,0,"9,11",1
"100,53",2,1,"1,298",KG,"89,04","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-12T12:51:18.000Z,VENDA,Mesa 26,0,0,0,0,0,0,0,0,0,"100,54",0,0,"100,54",0,0,"9,11",1
"100,53",3,1,1,UN,"4,5","4,5",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-12T12:51:18.000Z,VENDA,Mesa 26,0,0,0,0,0,0,0,0,0,"100,54",0,0,"100,54",0,0,"9,11",1
"100,91",1,1,"1,34",KG,"91,92","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-09T13:48:14.000Z,VENDA,Mesa 92,0,0,0,0,0,0,0,0,0,"100,92",0,0,"100,92",0,0,"8,06",1
"100,91",2,1,1,UN,"4,5","4,5",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-09T13:48:14.000Z,VENDA,Mesa 92,0,0,0,0,0,0,0,0,0,"100,92",0,0,"100,92",0,0,"8,06",1
"100,91",3,1,1,UN,"4,5","4,5",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-09T13:48:14.000Z,VENDA,Mesa 92,0,0,0,0,0,0,0,0,0,"100,92",0,0,"100,92",0,0,"8,06",1
"100,99",1,1,3,UN,"14,7","4,9",SUCO,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-20T15:05:08.000Z,VENDA,Mesa 94,0,0,0,0,0,0,0,0,0,"91,21",0,0,"101,01",0,0,"12,44",[Record]
